Catégories,Variables,Réponses,Zone 9,Zone 10,Zone 11,Zone 12,1er,2ème,4ème,5ème,6ème,7ème,8ème,TOTAL,Unit,Source,Source Link
CARACTÉRISTIQUES DÉMOGRAPHIQUES,Sexe,Homme,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,49%,50%,%,Vinck/Pham - HHI/UNDP 2019,/car
,,Femme,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,51%,50%,%,,
,Statut matrimonial,"Célibataire, jamais marié",43%,35%,51%,56%,53%,48%,51%,73%,45%,43%,45%,52%,%,,
,,Divorcé/ séparé,5%,9%,10%,4%,5%,5%,6%,7%,5%,7%,4%,6%,%,,
,,Veuf/ veuve,7%,11%,5%,8%,8%,6%,5%,9%,8%,7%,4%,7%,%,,
,,Marié/ vit maritalement (union libre) - un seul partenaire,41%,39%,28%,26%,34%,38%,34%,10%,40%,41%,46%,32%,%,,
,,Marié/ vit maritalement (union libre) - plusieurs partenaires,2%,5%,5%,5%,0%,1%,5%,0%,1%,0%,2%,2%,%,,
,,Refus,2%,0%,0%,0%,0%,2%,0%,1%,0%,1%,0%,1%,%,,
,Niveau d'éducation,N’a pas fréquenté l’école,5%,9%,6%,2%,2%,5%,2%,2%,5%,9%,6%,5%,%,,
,,N’a pas terminé l’école primaire,10%,16%,3%,8%,5%,8%,6%,3%,7%,9%,5%,7%,%,,
,,Ecole primaire /CEP,15%,19%,21%,15%,7%,11%,11%,16%,13%,13%,15%,14%,%,,
,,Ecole professionnelle / Apprentissage /BTS ou CAP,5%,7%,14%,11%,13%,10%,10%,8%,10%,5%,7%,9%,%,,
,,Collège /BEPC,27%,22%,25%,25%,17%,24%,30%,33%,21%,26%,22%,26%,%,,
,,Lycée BAC à lauréat,26%,19%,19%,23%,27%,24%,27%,23%,27%,23%,23%,24%,%,,
,,"Université (licence, master ou doctorat)",11%,9%,10%,14%,29%,17%,14%,14%,16%,14%,20%,14%,%,,
,,Alphabetisation fonctionnelle,1%,0%,2%,3%,0%,1%,0%,1%,1%,1%,1%,1%,%,,
,,Ecole coranique (musulmane),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Statut de personne déplacée,Oui,33%,46%,39%,47%,26%,33%,35%,42%,36%,32%,41%,38%,%,,
,Statut professionnel,je travaille,30%,36%,35%,37%,37%,25%,31%,44%,26%,34%,23%,33%,%,,
,,je cherche du travail (sans emploi),12%,12%,10%,12%,11%,12%,11%,9%,11%,14%,16%,12%,%,,
,,je m’occupe du ménage/suis au foyer,28%,34%,25%,25%,15%,23%,24%,23%,27%,25%,23%,25%,%,,
,,"je suis retraité, invalide",4%,4%,5%,2%,7%,5%,5%,2%,6%,6%,4%,4%,%,,
,,je suis en formation,22%,8%,17%,14%,25%,27%,19%,16%,23%,17%,21%,19%,%,,
,,je refais une formation,1%,1%,1%,2%,3%,2%,2%,1%,2%,2%,0%,1%,%,,
,,Ne sait pas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,Autre,4%,5%,7%,8%,2%,6%,8%,5%,5%,3%,14%,7%,%,,
,Profession,"profession libérale (médecin, avocat, etc.)",1%,1%,4%,4%,4%,0%,2%,3%,1%,0%,0%,2%,%,,
