Catégories,Variables,Réponses,Unit,Zone 9,Zone 10,Zone 11,Zone 12,1er,2ème,3ème,4ème,5ème,6ème,7ème,8ème,TOTAL,Source,Source Link,,,,,,,
CARACTÉRISTIQUES DÉMOGRAPHIQUES,Sexe,Homme,%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,Vinck/Pham - HHI/UNDP 2020,/car,,,,,,,
,,Femme,%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,,,,,,,,,
,Statut matriminial,"Celibataire, jamais marie",%,43%,34%,56%,40%,45%,46%,28%,50%,51%,42%,44%,44%,44%,,,,,,,,,
,,Divorce/ separe,%,5%,7%,4%,7%,5%,4%,13%,5%,6%,5%,5%,4%,6%,,,,,,,,,
,,Veuf/ veuve,%,11%,12%,8%,7%,10%,10%,9%,8%,10%,7%,7%,9%,9%,,,,,,,,,
,,Marie/ vit maritalement (union libre) - un seul partenaire,%,38%,43%,32%,44%,38%,37%,37%,33%,31%,41%,40%,41%,37%,,,,,,,,,
,,Marie/ vit maritalement (union libre) - plusieurs partenaires,%,0%,2%,0%,1%,1%,1%,13%,3%,1%,0%,1%,1%,3%,,,,,,,,,
,,Refus,%,3%,3%,0%,0%,1%,1%,0%,0%,0%,5%,2%,1%,1%,,,,,,,,,
,Niveau d'éducation,N’a pas fréquenté l’école,%,2%,7%,5%,3%,1%,6%,10%,4%,3%,2%,6%,5%,5%,,,,,,,,,
,,n’a pas terminé l’école primaire,%,6%,15%,14%,8%,2%,4%,9%,8%,8%,8%,9%,8%,8%,,,,,,,,,
,,Ecole primaire /CEP,%,10%,20%,12%,12%,4%,11%,15%,12%,15%,8%,15%,12%,13%,,,,,,,,,
,,Ecole professionnelle / Apprentissage /BTS ou CAP,%,12%,5%,4%,5%,14%,13%,2%,5%,6%,12%,10%,7%,7%,,,,,,,,,
,,Collège /BEPC,%,25%,26%,30%,31%,15%,19%,26%,26%,27%,24%,25%,25%,26%,,,,,,,,,
,,Lycée BAC à lauréat,%,27%,15%,23%,26%,24%,26%,16%,29%,23%,27%,25%,27%,24%,,,,,,,,,
,,"Université (licence, master ou doctorat)",%,16%,9%,11%,13%,41%,20%,5%,17%,17%,19%,11%,15%,15%,,,,,,,,,
,,Alphabetisation fonctionnelle,%,2%,4%,1%,1%,0%,0%,1%,0%,1%,1%,0%,1%,1%,,,,,,,,,
,,Ecole coranique (musulmane),%,0%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,0%,2%,,,,,,,,,
,Principale occupation (repondant),"profession libérale (médecin, avocat, etc.)",%,3%,0%,0%,0%,4%,1%,0%,0%,0%,0%,1%,0%,1%,,,,,,,,,
,,"industriel, patron d'entreprise",%,0%,0%,1%,1%,3%,1%,0%,1%,2%,1%,1%,1%,1%,,,,,,,,,
,,"indépendant, artisan, commerçant",%,18%,22%,16%,21%,14%,20%,25%,22%,23%,25%,19%,26%,22%,,,,,,,,,
,,"agriculteur, éleveur, pécheur",%,8%,15%,6%,4%,2%,7%,7%,5%,4%,4%,9%,3%,6%,,,,,,,,,
,,fonctionnaire,%,10%,7%,8%,10%,22%,10%,1%,9%,7%,10%,9%,10%,8%,,,,,,,,,
,,ouvrier,%,6%,8%,20%,8%,2%,9%,6%,10%,9%,8%,8%,11%,9%,,,,,,,,,
,,employé dans le secteur privé,%,10%,6%,3%,9%,15%,10%,7%,9%,9%,11%,8%,8%,8%,,,,,,,,,
,,en formation,%,22%,11%,14%,16%,21%,17%,12%,23%,19%,19%,19%,18%,18%,,,,,,,,,
,,femme au foyer,%,7%,15%,19%,18%,6%,12%,30%,10%,14%,9%,13%,13%,15%,,,,,,,,,
,,pas de profession/jamais travaillé,%,9%,10%,5%,7%,5%,9%,4%,5%,9%,10%,7%,6%,7%,,,,,,,,,
,,"Autre, spécifier",%,6%,5%,6%,6%,5%,4%,5%,6%,4%,2%,6%,3%,5%,,,,,,,,,
,Principale occupation economique (menage),"profession libérale (médecin, avocat, etc.)",%,1%,0%,0%,0%,2%,2%,1%,0%,0%,0%,1%,1%,1%,,,,,,,,,
,,"industriel, patron d'entreprise",%,0%,1%,1%,0%,3%,1%,1%,0%,2%,2%,1%,2%,1%,,,,,,,,,
,,"indépendant, artisan, commerçant",%,32%,35%,38%,45%,28%,38%,25%,35%,43%,38%,39%,39%,37%,,,,,,,,,
,,"agriculteur, éleveur, pécheur",%,10%,20%,10%,6%,5%,8%,8%,9%,5%,9%,15%,6%,9%,,,,,,,,,
,,fonctionnaire,%,12%,7%,10%,8%,19%,11%,0%,7%,5%,11%,9%,7%,8%,,,,,,,,,
,,ouvrier,%,6%,7%,13%,6%,4%,7%,7%,5%,9%,6%,5%,6%,7%,,,,,,,,,
,,employé dans le secteur privé,%,9%,5%,5%,9%,9%,7%,5%,8%,7%,8%,5%,8%,7%,,,,,,,,,
,,en formation,%,8%,5%,11%,12%,12%,7%,11%,12%,12%,8%,7%,10%,10%,,,,,,,,,
,,femme au foyer,%,10%,10%,3%,6%,13%,9%,29%,9%,9%,8%,10%,10%,11%,,,,,,,,,
,,pas de profession/jamais travaillé,%,4%,3%,2%,4%,1%,3%,5%,4%,4%,2%,4%,3%,3%,,,,,,,,,
,,"Autre, spécifier",%,7%,7%,7%,4%,4%,6%,7%,11%,3%,7%,4%,7%,6%,,,,,,,,,
,Biens (% possédant le bien),Table,%,99%,81%,64%,74%,100%,98%,68%,70%,78%,99%,80%,75%,80%,,,,,,,,,
,,Chaises,%,86%,66%,64%,73%,99%,94%,65%,65%,66%,87%,74%,70%,73%,,,,,,,,,
,,Lit,%,94%,84%,75%,90%,98%,95%,72%,83%,84%,95%,89%,88%,86%,,,,,,,,,
,,Radio fonctionnelle,%,91%,79%,73%,85%,95%,91%,77%,83%,74%,92%,79%,75%,81%,,,,,,,,,
,,Lecteur de CD,%,37%,18%,31%,37%,71%,43%,56%,48%,39%,38%,35%,40%,41%,,,,,,,,,
,,Télévision,%,58%,26%,34%,43%,89%,63%,63%,56%,47%,59%,49%,49%,52%,,,,,,,,,
,,Vélo,%,20%,19%,19%,28%,49%,22%,37%,26%,28%,18%,19%,26%,25%,,,,,,,,,
,,Autre vehicule/ moyens de transport,%,41%,16%,22%,32%,56%,31%,45%,32%,26%,30%,26%,31%,31%,,,,,,,,,
,,Téléphone postable,%,93%,78%,83%,88%,98%,92%,94%,87%,87%,93%,85%,87%,88%,,,,,,,,,
,,Accès à l’électricité,%,74%,46%,43%,57%,95%,78%,87%,77%,67%,77%,75%,62%,70%,,,,,,,,,
,Revenu moyen mensuel du ménage (FCFA),Aucun (0),%,0%,4%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,1%,,,,,,,,,
,,< 10 000 / mois,%,2%,9%,1%,3%,0%,2%,5%,3%,3%,0%,1%,5%,3%,,,,,,,,,
