Catégories,Variables,Réponses,Ombella M'Poko,Lobaye,Mambéré Kadéi,Nana Mambéré,Sangha Mbaéré,Ouham Péndé,Ouham,Kémo,Ouaka,Bamingui Bangoran,Vakaga,Bangui,Unit,Source,Source Link
CARACTÉRISTIQUES DÉMOGRAPHIQUES,Sexe,Homme,50%,50%,50%,50%,50%,51%,50%,50%,50%,50%,50%,50%,%,Vinck/Pham - HHI/UNDP 2018,/car
,,Femme,50%,50%,50%,50%,50%,49%,50%,50%,50%,50%,50%,50%,%,,
,Statut matrimonial,"Célibataire, jamais marié",43%,25%,10%,44%,40%,43%,46%,2%,3%,31%,10%,44%,%,,
,,Divorcé/ séparé,3%,6%,5%,5%,2%,4%,6%,9%,1%,8%,2%,5%,%,,
,,Veuf/ veuve,8%,6%,8%,7%,8%,9%,6%,7%,7%,8%,3%,7%,%,,
,,Marié/ vit maritalement (union libre) - un seul partenaire,44%,55%,75%,42%,44%,31%,40%,78%,87%,50%,55%,42%,%,,
,,Marié/ vit maritalement (union libre) - plusieurs partenaires,1%,8%,2%,1%,6%,13%,2%,4%,2%,4%,29%,1%,%,,
,,Refus de répondre,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,Niveau d'éducation,N’a pas fréquenté l’école,9%,20%,23%,29%,21%,45%,40%,21%,39%,23%,46%,3%,%,,
,,N’a pas terminé l’école primaire,15%,24%,37%,23%,5%,26%,33%,19%,27%,33%,8%,7%,%,,
,,Ecole primaire /CEP,20%,26%,16%,24%,51%,8%,15%,38%,21%,14%,26%,16%,%,,
,,Ecole professionnelle / Apprentissage /BTS ou CAP,4%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,8%,%,,
,,Collège /BEPC,26%,23%,16%,18%,16%,15%,9%,18%,13%,18%,13%,26%,%,,
,,Lycée BAC à lauréat,17%,7%,5%,4%,6%,5%,1%,3%,0%,9%,3%,21%,%,,
,,"Université (licence, master ou doctorat)",9%,0%,2%,1%,0%,0%,2%,0%,0%,2%,1%,16%,%,,
,,Alphabetisation fonctionnelle,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,%,,
,,Ecole coranique (musulmane),0%,0%,1%,1%,0%,0%,0%,1%,0%,0%,2%,4%,%,,
,Statut de personne déplacée,Oui,32%,11%,5%,9%,11%,32%,89%,22%,90%,56%,13%,32%,%,,
,Statut professionnel,Je travaille,37%,95%,78%,55%,98%,98%,97%,88%,4%,72%,39%,37%,%,,
,,Je cherche du travail (sans emploi),5%,0%,6%,1%,0%,1%,0%,1%,0%,5%,0%,8%,%,,
,,Je m’occupe du ménage/suis au foyer,32%,1%,8%,39%,0%,0%,2%,1%,94%,9%,9%,27%,%,,
,,"Je suis retraité, invalide",4%,1%,3%,2%,0%,0%,0%,0%,1%,1%,1%,4%,%,,
,,Je suis en formation,10%,2%,3%,4%,1%,0%,1%,1%,0%,5%,1%,15%,%,,
,,Je refais une formation,1%,0%,1%,0%,0%,0%,0%,0%,1%,0%,2%,1%,%,,
,,ne sait pas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,,
,,"Autre, spécifier",12%,1%,1%,0%,0%,0%,0%,8%,0%,7%,47%,6%,%,,
,Profession,"Profession libérale (médecin, avocat, etc.)",1%,0%,2%,0%,1%,4%,0%,0%,0%,0%,1%,1%,%,,
,,"Industriel, patron d'entreprise",1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,%,,
,,"Indépendant, artisan, commerçant",21%,11%,31%,19%,8%,0%,5%,8%,0%,16%,14%,24%,%,,
,,"Agriculteur, éleveur, pécheur",22%,81%,30%,65%,87%,54%,91%,81%,95%,43%,42%,4%,%,,
,,Fonctionnaire,8%,1%,0%,1%,0%,1%,1%,1%,2%,2%,1%,11%,%,,
,,Ouvrier,4%,2%,3%,2%,0%,6%,0%,3%,0%,3%,5%,6%,%,,
,,Employé dans le secteur privé,6%,0%,3%,2%,0%,0%,1%,2%,0%,3%,2%,10%,%,,
