Catégories,Variables,Réponses,Unit,Ombella M'Poko,Lobaye,Mambéré Kadéi,Nana Mambéré,Sangha Mbaéré,Ouham Péndé,Ouham,Kémo,Ouaka,Mbomou,Bangui,TOTAL,Source,Source Link,,,,,,,
CARACTÉRISTIQUES DÉMOGRAPHIQUES,Sexe,Homme,%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,Vinck/Pham - HHI/UNDP 2020,/car,,,,,,,
,,Femme,%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,,,,,,,,,
,Statut matriminial,"Celibataire, jamais marie",%,43%,30%,21%,43%,9%,78%,37%,6%,4%,9%,44%,36%,,,,,,,,,
,,Divorce/ separe,%,5%,11%,4%,3%,3%,5%,13%,8%,2%,6%,6%,6%,,,,,,,,,
,,Veuf/ veuve,%,10%,9%,4%,6%,9%,13%,13%,6%,9%,5%,9%,9%,,,,,,,,,
,,Marie/ vit maritalement (union libre) - un seul partenaire,%,38%,49%,65%,47%,73%,1%,32%,73%,72%,50%,37%,42%,,,,,,,,,
,,Marie/ vit maritalement (union libre) - plusieurs partenaires,%,1%,1%,5%,1%,6%,0%,5%,7%,13%,30%,3%,6%,,,,,,,,,
,,Refus,%,2%,0%,0%,0%,0%,3%,0%,0%,0%,0%,1%,1%,,,,,,,,,
,Niveau d'éducation,N’a pas fréquenté l’école,%,9%,28%,11%,17%,22%,38%,30%,17%,39%,43%,5%,21%,,,,,,,,,
,,n’a pas terminé l’école primaire,%,15%,17%,14%,34%,23%,16%,46%,46%,23%,16%,8%,21%,,,,,,,,,
,,Ecole primaire /CEP,%,19%,29%,22%,30%,29%,36%,18%,26%,18%,21%,12%,23%,,,,,,,,,
,,Ecole professionnelle / Apprentissage /BTS ou CAP,%,5%,0%,3%,2%,1%,0%,0%,0%,2%,0%,7%,3%,,,,,,,,,
,,Collège /BEPC,%,26%,18%,27%,12%,22%,10%,5%,10%,16%,17%,25%,18%,,,,,,,,,
,,Lycée BAC à lauréat,%,16%,4%,14%,3%,2%,1%,1%,1%,3%,3%,24%,9%,,,,,,,,,
,,"Université (licence, master ou doctorat)",%,8%,1%,5%,1%,0%,0%,0%,0%,0%,0%,16%,4%,,,,,,,,,
,,Alphabetisation fonctionnelle,%,2%,3%,1%,0%,0%,0%,0%,0%,0%,0%,1%,1%,,,,,,,,,
,,Ecole coranique (musulmane),%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,2%,1%,,,,,,,,,
,Principale occupation (repondant),"profession libérale (médecin, avocat, etc.)",%,1%,0%,5%,0%,0%,0%,0%,0%,2%,0%,0%,1%,,,,,,,,,
,,"industriel, patron d'entreprise",%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,1%,0%,,,,,,,,,
,,"indépendant, artisan, commerçant",%,19%,10%,16%,10%,12%,2%,9%,10%,4%,1%,23%,12%,,,,,,,,,
,,"agriculteur, éleveur, pécheur",%,17%,33%,14%,52%,74%,52%,53%,42%,76%,87%,5%,38%,,,,,,,,,
,,fonctionnaire,%,6%,0%,4%,2%,2%,0%,1%,1%,1%,0%,8%,3%,,,,,,,,,
